País,Volume Litro,Valor,Valor Litro,Temperatura
África do Sul,111689,617285.0,5.526820009132502,18.23
Alemanha,116128,481239.0,4.144039335905208,9.59
Argentina,7148283,23677374.0,3.312316258323852,16.3
Austrália,136603,390948.0,2.86192836174901,22.5
Bahamas,821,14791.0,18.015834348355664,25.58
Bermudas,78,732.0,9.384615384615385,21.67
Brasil,607894,781854.0,1.286168312238647,25.44
Bulgária,1205,2804.0,2.3269709543568466,11.35
Bélgica,923,50574.0,54.79306608884074,10.67
Canadá,3929,110698.0,28.17459913463986,-4.3
Chile,2763492,9911418.0,3.5865557056072532,9.39
Croácia,225,483.0,2.1466666666666665,11.96
Cuba,29,243.0,8.379310344827585,25.81
Emirados Árabes Unidos,2483,41230.0,16.604913411196133,28.17
Eslovênia,9350,44134.0,4.720213903743315,9.86
Espanha,16251284,52791475.0,3.2484494763613756,13.7
Estados Unidos,119775,659684.0,5.507693592151951,9.46
França,15691678,151071741.0,9.627507077318308,11.65
Geórgia,915,2325.0,2.540983606557377,9.1
Granada,2,40.0,20.0,26.49
Grécia,1776,6173.0,3.4757882882882885,13.17
Hong Kong,72,5061.0,70.29166666666667,
Hungria,9764,30318.0,3.1050798852929127,11.5
Indonésia,101,800.0,7.920792079207921,25.96
Irlanda,391,4062.0,10.388746803069054,9.73
Israel,5331,26625.0,4.9943725379853685,20.99
Itália,15029954,41552594.0,2.764652107385026,13.2
Luxemburgo,726,5969.0,8.221763085399449,10.2
Moldávia,3847,4878.0,1.2680010397712502,10.89
México,1382,11215.0,8.115050651230101,21.31
Nova Zelândia,927,8478.0,9.145631067961165,10.46
Panamá,15057,30546.0,2.028690974297669,25.6
Países Baixos,4544,209412.0,46.085387323943664,
Peru,305,977.0,3.2032786885245903,20.7
Peru,305,977.0,3.2032786885245903,11.66
Portugal,971565,3882219.0,3.995840731191428,15.85
Reino Unido,10041,172907.0,17.220097599840653,9.24
Romênia,4320,12658.0,2.9300925925925925,10.18
Suíça,1598,54770.0,34.27409261576971,6.47
Ucrânia,3069,4039.0,1.3160638644509612,9.27
Uruguai,38680,202318.0,5.230558428128232,17.97
Áustria,5076,49227.0,9.697990543735225,7.44
