País,Volume Litro,Valor,Valor Litro,Temperatura
África do Sul,8149874,26345297.0,3.2326017555608835,18.23
Alemanha,1135265,4741329.0,4.176407270549167,9.59
Argentina,189969433,623478554.0,3.281994077436658,16.3
Armênia,5927,38004.0,6.41201282267589,7.82
Arábia Saudita,3081,12171.0,3.950340798442064,25.94
Austrália,3096316,11625100.0,3.754494050348866,22.5
Bermudas,17,1024.0,60.23529411764706,21.67
Bolívia,1170,10920.0,9.333333333333334,20.76
Brasil,918122,806934.0,0.8788962686876036,25.44
Bulgária,239939,551882.0,2.30009294028899,11.35
Bélgica,4553,47542.0,10.441906435317373,10.67
Bósnia-Herzegovina,1218,902.0,0.7405582922824302,
Canadá,2729,56045.0,20.536826676438256,-4.3
Chile,544740486,1493664486.0,2.741974434409856,9.39
China,1430,3756.0,2.6265734265734264,7.59
Croácia,21856,130356.0,5.964311859443631,11.96
Cuba,8,261.0,32.625,25.81
Emirados Árabes Unidos,2739,46720.0,17.05732018985031,28.17
Eslováquia,33988,89804.0,2.642226668235848,8.83
Eslovênia,189791,728171.0,3.8366993166166994,9.86
Espanha,57409697,173598292.0,3.0238496468636646,13.7
Estados Unidos,6255672,29769269.0,4.758764366162421,9.46
França,48652361,247740977.0,5.092064843471831,11.65
Geórgia,99053,193493.0,1.953428972368328,9.1
Georgia,3626,5712.0,1.5752895752895753,
Grécia,356248,1232328.0,3.4591857357795694,13.17
Hong Kong,311,2776.0,8.92604501607717,
Hungria,210904,1339027.0,6.3489881652315745,11.5
Indonésia,294,1674.0,5.6938775510204085,25.96
Irlanda,286,2659.0,9.297202797202797,9.73
Israel,336084,1489954.0,4.433278585115626,20.99
Itália,96163232,322102542.0,3.3495394788727566,13.2
Japão,239,4856.0,20.317991631799163,11.78
Luxemburgo,5,42.0,8.4,10.2
Líbano,200125,1222535.0,6.108856964397252,15.45
Macedônia,10097,18543.0,1.8364860849757354,
Marrocos,21686,96028.0,4.428110301577054,18.14
Moldávia,70166,145727.0,2.0768890915828178,10.89
Montenegro,52890,144181.0,2.7260540744942334,9.93
México,817,4931.0,6.035495716034272,21.31
Noruega,401,280.0,0.6982543640897756,2.21
Nova Zelândia,687477,4751794.0,6.911931599166227,10.46
Panamá,17,96.0,5.647058823529412,25.6
Países Baixos,3211,37360.0,11.635004671441918,
Peru,33415,151505.0,4.534041598084692,20.7
Peru,33415,151505.0,4.534041598084692,11.66
Porto Rico,2143,6090.0,2.8418105459636025,25.4
Portugal,182542733,527616215.0,2.890370963165102,15.85
Reino Unido,16584,194351.0,11.719187168355042,9.24
Republica Dominicana,2,13.0,6.5,
Romênia,196432,450387.0,2.292839252260324,10.18
Rússia,49662,131065.0,2.6391405903910434,-3.79
San Marino,1095,2237.0,2.0429223744292235,
Eswatini,320,6968.0,21.775,
Suíça,9189,187784.0,20.43573838284906,6.47
Sérvia,3471,8302.0,2.3918179199078073,11.4
Síria,2617,7145.0,2.7302254489873903,18.75
República Tcheca,5175,17572.0,3.3955555555555557,
Turquia,73488,204842.0,2.7874210755497497,
Ucrânia,10830,13684.0,1.263527239150508,9.27
Uruguai,29644327,76462261.0,2.579321871601268,17.97
Áustria,913756,2158051.0,2.361736612399809,7.44
